lang	prod	text	ADJ==NOUN==PUNCT	NOUN==ADP==NOUN	VERB==NOUN==PUNCT	ADP==ADJ==NOUN	NOUN==NOUN==PUNCT	ADP==NOUN==PUNCT	VERB==ADJ==NOUN	DET==NOUN==PUNCT	NOUN==PUNCT==CCONJ	ADJ==NOUN==ADP	NOUN==PUNCT==PRON	ADP==DET==NOUN	ADV==ADJ==PUNCT	PRON==VERB==PUNCT	ADJ==ADJ==NOUN	VERB==DET==NOUN	NOUN==CCONJ==NOUN	NUM==NOUN==PUNCT	VERB==ADP==NOUN	AUX==ADJ==PUNCT	NOUN==ADJ==NOUN	AUX==ADV==ADJ	PUNCT==SCONJ==PRON	ADV==VERB==PUNCT	ADJ==NOUN==NOUN	lexvar	lemvar	posvar	richposvar	sentlgth	ADJ	ADP	ADV	AUX	CCONJ	DET	INTJ	NOUN	NUM	PART	PRON	PROPN	PUNCT	SCONJ	SYM	VERB	X	_
hr	prof	review_toys-and-games_166_1.hr.conllu	2	0	0	0	0	1	1	0	2	1	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0.726	0.603	0.167	0.441	72	13	4	6	7	4	4	4	9	0	0	2	0	12	1	0	6	0	0
hr	prof	review_toys-and-games_187_1.hr.conllu	2	0	0	0	0	0	2	1	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	1	1	0.818	0.688	0.184	0.484	76	8	2	6	8	3	4	0	9	2	1	4	4	11	3	0	11	0	0
hr	prof	review_toys-and-games_21_5.hr.conllu	1	1	1	0	1	0	1	0	0	0	0	0	3	1	0	1	0	0	0	0	0	2	0	0	0	0.818	0.766	0.143	0.441	77	6	3	9	7	4	4	0	12	0	0	7	0	9	3	0	13	0	0
hr	prof	review_toys-and-games_23_5.hr.conllu	1	2	0	0	1	2	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0.845	0.759	0.19	0.514	58	4	5	5	3	3	3	0	11	0	0	6	0	7	4	0	7	0	0
hr	prof	review_toys-and-games_24_5.hr.conllu	1	2	0	0	0	2	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0.872	0.851	0.277	0.593	47	4	4	4	2	1	5	0	7	0	3	1	1	4	2	0	9	0	0
hr	prof	review_toys-and-games_254_2.hr.conllu	0	1	0	0	0	2	0	1	0	0	0	0	1	0	0	2	0	0	1	0	0	1	0	0	0	0.784	0.765	0.235	0.5	51	3	4	5	5	3	4	0	11	0	0	1	1	6	2	0	6	0	0
hr	prof	review_toys-and-games_331_1.hr.conllu	0	2	1	2	1	1	0	0	2	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.803	0.746	0.183	0.524	72	5	9	1	6	5	3	0	15	1	2	7	0	5	3	0	9	0	0
hr	prof	review_toys-and-games_3_5.hr.conllu	2	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0.759	0.658	0.165	0.429	79	4	4	4	5	4	5	0	17	2	2	7	0	11	2	0	12	0	0
hr	prof	review_toys-and-games_531_2.hr.conllu	2	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0.808	0.712	0.269	0.47	52	6	1	3	5	4	1	0	7	1	1	5	1	6	3	0	8	0	0
hr	prof	review_toys-and-games_587_1.hr.conllu	3	0	0	0	0	0	2	0	0	0	0	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0.7	0.6	0.163	0.359	80	9	3	0	6	5	7	0	14	2	2	1	3	11	6	0	11	0	0
hr	prof	review_toys-and-games_5_4.hr.conllu	2	0	1	2	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.695	0.644	0.172	0.478	58	4	7	3	3	0	7	0	9	0	0	4	0	6	3	0	12	0	0
hr	prof	review_toys-and-games_615_2.hr.conllu	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	1	0	0.814	0.7	0.171	0.512	70	4	3	4	8	9	8	0	11	1	0	6	0	6	1	0	9	0	0
hr	prof	review_toys-and-games_9_4.hr.conllu	1	3	1	1	0	1	0	1	0	1	0	2	1	0	0	0	1	0	0	0	0	1	0	0	0	0.855	0.79	0.177	0.5	62	5	7	5	4	4	5	0	14	0	0	1	2	8	0	0	7	0	0
hr	prof	review_video-games_13_5.hr.conllu	3	2	0	1	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0.838	0.762	0.163	0.531	80	9	6	7	9	5	3	0	14	2	2	4	0	9	2	0	8	0	0
hr	prof	review_video-games_16_5.hr.conllu	0	0	1	1	0	0	0	2	0	1	0	0	0	0	1	2	1	1	0	0	0	0	0	0	1	0.825	0.762	0.206	0.548	63	3	5	1	1	3	7	0	13	1	0	6	2	4	3	0	14	0	0
hr	prof	review_video-games_17_5.hr.conllu	2	1	1	0	0	0	0	2	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0.882	0.745	0.235	0.623	51	4	5	3	7	2	4	0	9	0	1	3	0	6	1	0	6	0	0
hr	prof	review_video-games_18_2.hr.conllu	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0.758	0.727	0.212	0.333	66	3	3	7	2	3	3	2	4	0	3	6	1	9	7	0	13	0	0
hr	prof	review_video-games_20_1.hr.conllu	1	0	2	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0.8	0.627	0.173	0.457	75	7	3	2	12	2	3	0	16	1	1	2	0	8	6	0	12	0	0
hr	prof	review_video-games_21_4.hr.conllu	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	0	0	0	0.803	0.737	0.2	0.477	75	4	8	7	11	2	6	1	9	2	1	2	3	9	1	0	9	0	0
hr	prof	review_video-games_2_5.hr.conllu	3	0	0	3	1	0	1	1	0	2	0	2	1	0	1	0	0	0	0	0	0	1	0	0	0	0.782	0.678	0.161	0.425	87	14	8	4	6	1	6	0	15	2	1	1	0	9	5	0	12	3	0
hr	prof	review_video-games_33_5.hr.conllu	0	1	0	3	1	0	1	0	0	2	0	0	0	0	0	0	3	0	1	0	0	0	0	1	0	0.773	0.697	0.133	0.438	105	10	8	7	11	6	4	0	18	3	2	5	2	9	6	0	14	0	0
hr	prof	review_video-games_40_1.hr.conllu	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0.78	0.661	0.22	0.551	59	6	5	2	9	2	7	0	9	2	2	1	0	4	3	0	7	0	0
hr	prof	review_video-games_41_1.hr.conllu	1	0	1	1	0	0	0	1	0	1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	1	0.768	0.667	0.134	0.424	97	9	5	5	10	3	9	0	18	2	7	1	0	12	2	0	14	0	0
hr	prof	review_video-games_54_1.hr.conllu	0	1	3	0	0	1	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.781	0.672	0.203	0.418	64	0	4	3	3	2	2	0	11	0	2	5	4	7	3	0	15	3	0
hr	prof	review_video-games_58_1.hr.conllu	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0.825	0.772	0.228	0.522	57	3	7	5	6	0	2	0	10	2	1	1	3	4	6	0	7	0	0
