lang	prod	text	ADJ==NOUN==PUNCT	NOUN==ADP==NOUN	VERB==NOUN==PUNCT	ADP==ADJ==NOUN	NOUN==NOUN==PUNCT	ADP==NOUN==PUNCT	VERB==ADJ==NOUN	DET==NOUN==PUNCT	NOUN==PUNCT==CCONJ	ADJ==NOUN==ADP	NOUN==PUNCT==PRON	ADP==DET==NOUN	ADV==ADJ==PUNCT	PRON==VERB==PUNCT	ADJ==ADJ==NOUN	VERB==DET==NOUN	NOUN==CCONJ==NOUN	NUM==NOUN==PUNCT	VERB==ADP==NOUN	AUX==ADJ==PUNCT	NOUN==ADJ==NOUN	AUX==ADV==ADJ	PUNCT==SCONJ==PRON	ADV==VERB==PUNCT	ADJ==NOUN==NOUN	lexical variety	lemma variety	POS variety	richPOS variety	length	ADJ	ADP	ADV	AUX	CCONJ	DET	INTJ	NOUN	NUM	PART	PRON	PROPN	PUNCT	SCONJ	SYM	VERB	X	_
ru	stud	review_toys-and-games_331_1.conllu	1	1	1	2	1	0	1	3	3	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0.808	0.74	0.151	0.42	77	7	9	2	0	5	5	0	15	0	2	8	0	9	2	0	9	0	0
ru	stud	review_toys-and-games_3_5.conllu	2	2	0	0	0	3	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	2	0	0.786	0.686	0.171	0.383	72	8	4	9	1	2	0	0	13	3	3	4	0	13	2	0	8	0	0
ru	stud	review_toys-and-games_531_2.conllu	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0.826	0.783	0.283	0.517	47	7	2	3	1	3	1	0	10	1	1	3	0	5	1	0	8	0	0
ru	stud	review_toys-and-games_587_1.conllu	2	1	0	0	0	0	2	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0.763	0.697	0.184	0.371	78	9	3	0	1	5	2	0	14	2	4	3	7	11	4	1	10	0	0
ru	stud	review_toys-and-games_5_4.conllu	1	5	1	1	0	2	0	1	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0.702	0.638	0.213	0.385	48	4	8	3	1	0	1	0	13	0	0	3	0	9	1	0	4	0	0
ru	stud	review_toys-and-games_615_2.conllu	0	1	2	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0.836	0.726	0.178	0.44	73	4	6	6	0	5	8	0	8	1	3	7	6	10	2	0	7	0	0
ru	stud	review_toys-and-games_9_4.conllu	3	1	1	1	0	1	1	0	1	1	0	1	0	0	0	0	1	0	1	0	1	0	0	1	0	0.887	0.849	0.212	0.426	54	6	5	6	0	2	1	0	14	0	1	1	3	8	0	0	5	0	0
ru	stud	review_video-games_13_5.conllu	2	0	0	0	0	0	1	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0.884	0.797	0.203	0.54	70	10	4	6	2	2	3	0	13	1	2	6	1	8	2	0	9	0	0
ru	stud	review_video-games_16_5.conllu	0	0	1	0	0	0	0	5	0	1	1	3	0	1	1	1	1	1	0	0	0	0	1	0	0	0.781	0.74	0.164	0.408	74	4	9	4	0	3	6	0	12	1	0	9	3	10	2	0	10	0	0
ru	stud	review_video-games_17_5.conllu	2	2	1	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0.868	0.774	0.226	0.471	53	6	7	3	1	2	4	0	11	0	2	4	1	6	0	0	6	0	0
ru	stud	review_video-games_18_2.conllu	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0.792	0.774	0.208	0.38	55	4	2	8	0	3	1	0	6	0	2	7	0	9	2	0	9	0	0
ru	stud	review_video-games_20_1.conllu	1	0	1	1	0	0	0	1	0	1	0	1	2	0	1	0	1	0	0	1	0	2	0	1	0	0.806	0.716	0.179	0.44	68	9	5	5	6	2	1	0	16	1	0	2	0	12	3	0	5	0	0
ru	stud	review_video-games_21_4.conllu	1	0	0	0	0	0	0	0	0	0	1	2	0	1	0	1	0	0	0	1	0	0	0	0	0	0.724	0.68	0.187	0.321	76	4	8	4	3	3	3	0	10	2	2	7	3	15	4	0	7	0	0
ru	stud	review_video-games_2_5.conllu	5	1	0	2	0	1	0	1	0	1	0	1	1	0	1	0	0	0	2	0	1	0	1	0	0	0.756	0.674	0.163	0.381	89	9	11	3	0	1	2	0	18	2	4	6	2	12	4	0	11	1	0
ru	stud	review_video-games_33_5.conllu	2	0	1	1	0	0	0	2	1	1	1	3	0	1	1	1	2	0	1	0	1	0	1	0	0	0.733	0.634	0.109	0.373	131	9	15	8	4	8	5	0	22	1	1	15	6	19	3	0	13	0	0
ru	stud	review_video-games_40_1.conllu	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0.774	0.736	0.283	0.416	53	3	5	1	1	2	1	0	5	2	4	5	3	8	3	1	9	0	0
ru	stud	review_video-games_41_1.conllu	0	2	1	0	0	2	0	2	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	2	1	0.686	0.619	0.124	0.32	105	2	8	5	1	2	6	0	19	3	11	6	0	24	2	0	16	0	0
ru	stud	review_video-games_54_1.conllu	0	0	1	1	0	2	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0.779	0.662	0.191	0.337	68	1	9	3	0	3	1	0	11	1	4	5	4	9	4	0	13	0	0
ru	stud	review_video-games_58_1.conllu	1	2	0	0	0	1	3	1	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0.828	0.81	0.207	0.425	59	4	5	6	0	0	1	0	10	3	4	2	4	8	3	0	8	0	0
ru	stud	review_video-games_66_1.conllu	2	0	0	2	0	2	0	1	1	0	0	2	0	0	0	0	1	1	1	0	0	0	0	0	0	0.738	0.723	0.185	0.34	66	3	6	3	0	2	3	0	9	2	6	5	4	13	0	0	9	0	0
ru	stud	review_video-games_7_5.conllu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0.911	0.8	0.289	0.586	45	6	4	2	2	1	1	0	7	1	3	7	0	2	3	0	6	0	0
