textid	register	transl-id	status	study	studyyear	experience	age	nativelang	gender
review_movies+TV_24_5	review	st14	stud	MA	2	1	22	HR	f
review_musical-instruments_409_1	review	st14	stud	MA	2	1	22	HR	f
review_patio+lawn+garden_334_1	review	st14	stud	MA	2	1	22	HR	f
review_pet_supplies_64_5	review	st14	stud	MA	2	1	22	HR	f
review_sports+outdoors_40_1	review	st14	stud	MA	2	1	22	HR	f
review_toys-and-games_254_2	review	st14	stud	MA	2	1	22	HR	f
review_video-games_2_5	review	st14	stud	MA	2	1	22	HR	f
scotsman.133753	news	st14	stud	MA	2	1	22	HR	f
bbc.381765	news	st15	stud	MA	1	1	22	HR	f
dailymail.co.uk.298644	news	st15	stud	MA	1	1	22	HR	f
review_beauty_25_5	review	st15	stud	MA	1	1	22	HR	f
review_books_5_5	review	st15	stud	MA	1	1	22	HR	f
review_grocery+gourmet-food_355_1	review	st15	stud	MA	1	1	22	HR	f
review_home+kitchen_112_1	review	st15	stud	MA	1	1	22	HR	f
review_movies+TV_249_1	review	st15	stud	MA	1	1	22	HR	f
review_musical-instruments_414_1	review	st15	stud	MA	1	1	22	HR	f
review_patio+lawn+garden_387_1	review	st15	stud	MA	1	1	22	HR	f
review_pet_supplies_91_1	review	st15	stud	MA	1	1	22	HR	f
review_sports+outdoors_43_2	review	st15	stud	MA	1	1	22	HR	f
review_video-games_21_4	review	st15	stud	MA	1	1	22	HR	f
scotsman.133765	news	st15	stud	MA	1	1	22	HR	f
bbc.381705	news	st16	stud	MA	1	2	23	HR	f
cnn.385803	news	st16	stud	MA	1	2	23	HR	f
en.ndtv.com.13004	news	st16	stud	MA	1	2	23	HR	f
review_beauty_53_1	review	st16	stud	MA	1	2	23	HR	f
review_books_77_2	review	st16	stud	MA	1	2	23	HR	f
review_cell-phones+accessories_127_1	review	st16	stud	MA	1	2	23	HR	f
review_grocery+gourmet-food_356_1	review	st16	stud	MA	1	2	23	HR	f
review_home+kitchen_12_5	review	st16	stud	MA	1	2	23	HR	f
review_movies+TV_1_4	review	st16	stud	MA	1	2	23	HR	f
review_musical-instruments_483_2	review	st16	stud	MA	1	2	23	HR	f
review_pet_supplies_9_5	review	st16	stud	MA	1	2	23	HR	f
review_sports+outdoors_5_4	review	st16	stud	MA	1	2	23	HR	f
review_toys-and-games_23_5	review	st16	stud	MA	1	2	23	HR	f
review_video-games_20_1	review	st16	stud	MA	1	2	23	HR	f
scotsman.133783	news	st16	stud	MA	1	2	23	HR	f
cbsnews.248387	news	st17	stud	MA	1	4	22	HR	f
euronews-en.153797	news	st17	stud	MA	1	4	22	HR	f
review_beauty_58_1	review	st17	stud	MA	1	4	22	HR	f
review_books_8_4	review	st17	stud	MA	1	4	22	HR	f
review_cell-phones+accessories_132_1	review	st17	stud	MA	1	4	22	HR	f
review_grocery+gourmet-food_399_2	review	st17	stud	MA	1	4	22	HR	f
review_home+kitchen_145_1	review	st17	stud	MA	1	4	22	HR	f
review_movies+TV_25_5	review	st17	stud	MA	1	4	22	HR	f
review_musical-instruments_51_2	review	st17	stud	MA	1	4	22	HR	f
review_patio+lawn+garden_6_5	review	st17	stud	MA	1	4	22	HR	f
review_pet_supplies_98_2	review	st17	stud	MA	1	4	22	HR	f
review_sports+outdoors_6_5	review	st17	stud	MA	1	4	22	HR	f
review_toys-and-games_331_1	review	st17	stud	MA	1	4	22	HR	f
review_video-games_18_2	review	st17	stud	MA	1	4	22	HR	f
scotsman.133801	news	st17	stud	MA	1	4	22	HR	f
cbsnews.248394	news	st18	stud	MA	2	3	22	HR	f
euronews-en.153799	news	st18	stud	MA	2	3	22	HR	f
review_beauty_62_1	review	st18	stud	MA	2	3	22	HR	f
review_cd+vinyl_107_2	review	st18	stud	MA	2	3	22	HR	f
review_cell-phones+accessories_13_5	review	st18	stud	MA	2	3	22	HR	f
review_grocery+gourmet-food_8_5	review	st18	stud	MA	2	3	22	HR	f
review_home+kitchen_185_1	review	st18	stud	MA	2	3	22	HR	f
review_movies+TV_26_5	review	st18	stud	MA	2	3	22	HR	f
review_musical-instruments_53_1	review	st18	stud	MA	2	3	22	HR	f
review_pet_supplies_131_2	review	st18	stud	MA	2	3	22	HR	f
review_sports+outdoors_133_1	review	st18	stud	MA	2	3	22	HR	f
review_toys-and-games_15_5	review	st18	stud	MA	2	3	22	HR	f
review_video-games_17_5	review	st18	stud	MA	2	3	22	HR	f
scotsman.133804	news	st18	stud	MA	2	3	22	HR	f
abcnews.306764	news	st19	stud	MA	1	2	23	HR	f
cbsnews.248471	news	st19	stud	MA	1	2	23	HR	f
euronews-en.153800	news	st19	stud	MA	1	2	23	HR	f
review_beauty_6_5	review	st19	stud	MA	1	2	23	HR	f
review_cd+vinyl_110_1	review	st19	stud	MA	1	2	23	HR	f
review_cell-phones+accessories_25_4	review	st19	stud	MA	1	2	23	HR	f
review_grocery+gourmet-food_9_5	review	st19	stud	MA	1	2	23	HR	f
review_home+kitchen_19_5	review	st19	stud	MA	1	2	23	HR	f
review_movies+TV_274_2	review	st19	stud	MA	1	2	23	HR	f
review_musical-instruments_547_2	review	st19	stud	MA	1	2	23	HR	f
review_pet_supplies_132_2	review	st19	stud	MA	1	2	23	HR	f
review_sports+outdoors_137_1	review	st19	stud	MA	1	2	23	HR	f
review_toys-and-games_166_1	review	st19	stud	MA	1	2	23	HR	f
review_video-games_16_5	review	st19	stud	MA	1	2	23	HR	f
seattle_times.7019	news	st19	stud	MA	1	2	23	HR	f
cbsnews.248484	news	st20	stud	MA	1	5	23	HR	m
cnn.304400	news	st20	stud	MA	1	5	23	HR	m
euronews-en.153835	news	st20	stud	MA	1	5	23	HR	m
review_beauty_82_1	review	st20	stud	MA	1	5	23	HR	m
review_books_302_2	review	st20	stud	MA	1	5	23	HR	m
review_cd+vinyl_113_2	review	st20	stud	MA	1	5	23	HR	m
review_cell-phones+accessories_28_4	review	st20	stud	MA	1	5	23	HR	m
review_health+care_110_1	review	st20	stud	MA	1	5	23	HR	m
review_home+kitchen_20_5	review	st20	stud	MA	1	5	23	HR	m
review_movies+TV_304_1	review	st20	stud	MA	1	5	23	HR	m
review_patio+lawn+garden_10_4	review	st20	stud	MA	1	5	23	HR	m
review_pet_supplies_143_1	review	st20	stud	MA	1	5	23	HR	m
review_sports+outdoors_146_2	review	st20	stud	MA	1	5	23	HR	m
review_toys-and-games_187_1	review	st20	stud	MA	1	5	23	HR	m
review_video-games_13_5	review	st20	stud	MA	1	5	23	HR	m
seattle_times.7452	news	st20	stud	MA	1	5	23	HR	m
abcnews.306755	news	pr01	prof	NA	NA	5	28	HR	m
bbc.381647	news	pr01	prof	NA	NA	5	28	HR	m
bbc.381669	news	pr01	prof	NA	NA	5	28	HR	m
bbc.381679	news	pr01	prof	NA	NA	5	28	HR	m
cbsnews.248394	news	pr01	prof	NA	NA	5	28	HR	m
cbsnews.302129	news	pr01	prof	NA	NA	5	28	HR	m
cnbc.com.6784	news	pr01	prof	NA	NA	5	28	HR	m
cnn.304478	news	pr01	prof	NA	NA	5	28	HR	m
