lang	prod	text	ADJ==NOUN==PUNCT	NOUN==ADP==NOUN	VERB==NOUN==PUNCT	ADP==ADJ==NOUN	NOUN==NOUN==PUNCT	ADP==NOUN==PUNCT	VERB==ADJ==NOUN	DET==NOUN==PUNCT	NOUN==PUNCT==CCONJ	ADJ==NOUN==ADP	NOUN==PUNCT==PRON	ADP==DET==NOUN	ADV==ADJ==PUNCT	PRON==VERB==PUNCT	ADJ==ADJ==NOUN	VERB==DET==NOUN	NOUN==CCONJ==NOUN	NUM==NOUN==PUNCT	VERB==ADP==NOUN	AUX==ADJ==PUNCT	NOUN==ADJ==NOUN	AUX==ADV==ADJ	PUNCT==SCONJ==PRON	ADV==VERB==PUNCT	ADJ==NOUN==NOUN	lexvar	lemvar	posvar	richposvar	sentlgth
hr	mt	OnlineB_review_cd+vinyl_7_5.conllu	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	1	0.75	0.65	0.217	0.405	60
hr	mt	OnlineB_review_cd+vinyl_8_5.conllu	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0.714	0.651	0.175	0.423	63
hr	mt	OnlineB_review_cell-phones+accessories_102_1.conllu	3	2	0	0	0	1	1	1	1	1	0	0	1	0	1	1	0	0	1	1	0	0	0	0	1	0.638	0.562	0.135	0.367	104
hr	mt	OnlineB_review_cell-phones+accessories_105_2.conllu	3	0	1	2	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.778	0.765	0.185	0.437	84
hr	mt	OnlineB_review_cell-phones+accessories_117_1.conllu	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0.758	0.694	0.197	0.425	61
hr	mt	OnlineB_review_cell-phones+accessories_127_1.conllu	2	1	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.706	0.647	0.216	0.443	51
hr	mt	OnlineB_review_cell-phones+accessories_12_5.conllu	0	4	2	1	2	0	1	0	0	3	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0.694	0.681	0.167	0.395	72
hr	mt	OnlineB_review_cell-phones+accessories_132_1.conllu	1	0	0	0	0	0	1	0	1	1	0	0	2	0	1	0	0	1	0	0	0	2	0	0	0	0.769	0.673	0.231	0.469	52
hr	mt	OnlineB_review_cell-phones+accessories_13_5.conllu	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0.774	0.698	0.245	0.424	53
hr	mt	OnlineB_review_cell-phones+accessories_25_4.conllu	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0.815	0.722	0.222	0.578	54
